Ticker,SecurityType,Name,Sector,Industry,Country,Currency,Date,Close
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2015-06-30,28.060314178466797
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2015-07-31,27.136384963989258
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2015-08-31,25.34005355834961
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2015-09-30,24.787233352661133
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2015-10-30,26.854705810546875
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2015-11-30,26.698827743530273
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2015-12-31,23.75586700439453
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-01-29,21.968421936035156
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-02-29,21.940135955810547
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-03-31,24.73114776611328
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-04-29,21.2707462310791
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-05-31,22.79741096496582
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-06-30,21.82487678527832
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-07-29,23.79048728942871
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-08-31,24.353178024291992
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-09-30,25.948415756225586
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-10-31,26.06087875366211
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-11-30,25.497943878173828
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2016-12-30,26.720701217651367
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-01-31,27.99651336669922
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-02-28,31.741832733154297
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-03-31,33.287322998046875
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-04-28,33.28500747680664
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-05-31,35.541988372802734
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-06-30,33.508487701416016
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-07-31,34.60435104370117
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-08-31,38.30698776245117
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-09-29,35.999229431152344
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-10-31,39.48423385620117
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-11-30,40.284889221191406
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2017-12-29,39.67070388793945
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-01-31,39.248748779296875
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-02-28,41.924930572509766
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-03-29,39.49115753173828
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-04-30,38.898006439208984
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-05-31,44.15407180786133
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-06-29,43.73820495605469
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-07-31,44.9621467590332
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-08-31,53.97356033325195
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-09-28,53.52541732788086
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-10-31,51.894100189208984
